elem,VEC,r_atomic,T_melt,EN_Pauling
Ag,11,1.44,1235.1,1.93
Al,3,1.43,933.5,1.61
As,5,1.39,1090.0,2.18
Au,11,1.44,1337.3,2.54
B,3,0.98,2349.0,2.04
Ba,2,2.24,1000.0,0.89
Be,2,1.12,1560.0,1.57
Bi,5,1.70,544.6,2.02
C,4,0.91,3823.0,2.55
Ca,2,1.97,1115.0,1.00
Cd,12,1.51,594.2,1.69
Ce,3,1.82,1068.0,1.12
Co,9,1.25,1768.0,1.88
Cr,6,1.29,2180.0,1.66
Cs,1,2.65,301.6,0.79
Cu,11,1.28,1358.0,1.90
Dy,3,1.77,1680.0,1.22
Er,3,1.75,1802.0,1.24
Eu,2,2.04,1095.0,1.20
Fe,8,1.26,1811.0,1.83
Ga,3,1.35,302.9,1.81
Gd,3,1.80,1585.0,1.20
Ge,4,1.22,1211.0,2.01
Hf,4,1.59,2506.0,1.30
Hg,12,1.51,234.3,2.00
Ho,3,1.76,1734.0,1.23
In,3,1.67,429.8,1.78
Ir,9,1.36,2719.0,2.20
K,1,2.27,336.4,0.82
La,3,1.88,1193.0,1.10
Li,1,1.52,453.7,0.98
Lu,3,1.74,1936.0,1.27
Mg,2,1.60,923.2,1.31
Mn,7,1.26,1519.0,1.55
Mo,6,1.40,2896.0,2.16
Na,1,1.86,371.0,0.93
Nb,5,1.47,2750.0,1.60
Nd,3,1.82,1294.0,1.14
Ni,10,1.25,1728.0,1.91
P,5,1.28,317.3,2.19
Pb,4,1.75,600.6,2.33
Pd,10,1.37,1828.0,2.20
Pr,3,1.82,1208.0,1.13
Pt,10,1.39,2041.0,2.28
Rb,1,2.48,312.5,0.82
Rh,9,1.34,2237.0,2.28
Ru,8,1.34,2607.0,2.20
Sb,5,1.59,903.8,2.05
Sc,3,1.64,1814.0,1.36
Se,6,1.40,494.0,2.55
Si,4,1.17,1687.0,1.90
Sm,3,1.80,1345.0,1.17
Sn,4,1.58,505.1,1.96
Sr,2,2.15,1050.0,0.95
Ta,5,1.49,3290.0,1.50
Tb,3,1.78,1629.0,1.10
Te,6,1.60,722.7,2.10
Ti,4,1.47,1941.0,1.54
Tl,3,1.71,577.0,1.62
U,6,1.56,1408.0,1.38
V,5,1.35,2183.0,1.63
W,6,1.41,3695.0,2.36
Y,3,1.82,1799.0,1.22
Yb,2,1.94,1097.0,1.10
Zn,12,1.33,692.7,1.65
Zr,4,1.60,2128.0,1.33
