pair,source,solvent,solute,target_dh0,h05,n_pts,n_low,sv_phi,sv_nws13,sv_v23,sv_VEC,sv_r,sv_Tm,sv_EN,sl_phi,sl_nws13,sl_v23,sl_VEC,sl_r,sl_Tm,sl_EN,d_phi,d_nws13,d_v23,d_VEC,d_r,d_EN,n_mean,dh0_miedema,n_high
Ag-Al,Deffrennes2024,Ag,Al,-31.11573950445289,-3.793275371687004,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,4.2,1.3924766500838337,4.641588833612778,3.0,1.43,933.5,1.61,-0.1499999999999994,0.0316582268931602,-0.0770410114337822,-8.0,-0.01,-0.3199999999999998,1.3766475366372537,-17.26308751895467,
Ag-Au,Deffrennes2024+Entall,Ag,Au,-16.550669990797168,-4.079900328852959,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,5.15,1.570014469689623,4.703272204492528,11.0,1.44,1337.3,2.54,0.8000000000000007,0.2091960464989495,-0.0153576405540327,0.0,0.0,0.6100000000000001,1.4654164464401482,-23.51001380748868,
Ag-Ba,Deffrennes2024,Ag,Ba,-74.47622120525979,-14.299564415988156,41,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,2.32,0.8092672334566456,11.322699560521505,2.0,2.24,1000.0,0.89,-2.03,-0.5515511897340278,6.604069715474944,-9.0,0.8000000000000003,-1.04,1.0850428283236595,-164.05646357968553,
Ag-Bi,Deffrennes2024,Ag,Bi,1.177298268881497,2.0041111929106266,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,4.15,1.1597779995297994,7.200092591401869,5.0,1.7,544.6,2.02,-0.1999999999999993,-0.201040423660874,2.4814627463553087,-6.0,0.26,0.09,1.2602982113602366,9.72729127867822,
Ag-Ca,Deffrennes2024+Entall,Ag,Ca,-96.67114332114414,-24.362973047868433,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,2.55,0.9085602964160698,8.82133254239671,2.0,1.97,1115.0,1.0,-1.7999999999999998,-0.4522581267746036,4.10270269735015,-9.0,0.53,-0.93,1.1346893598033716,-147.44894145882373,
Ag-Ce,Deffrennes2024,Ag,Ce,-107.70652629741087,-17.35202160759838,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,3.18,1.1911384251964323,7.76075177823098,3.0,1.82,1068.0,1.12,-1.1699999999999997,-0.1696799979942409,3.0421219331844194,-8.0,0.3800000000000001,-0.8099999999999998,1.275978424193553,-141.16411755728262,
Ag-Cu,Deffrennes2024+Entall,Ag,Cu,13.611996427867869,3.5977762687046484,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,4.45,1.470536155018365,3.701007760555726,11.0,1.28,1358.0,1.9,0.1000000000000005,0.1097177318276918,-1.0176220844908346,0.0,-0.1599999999999999,-0.03,1.4156772891045195,7.717739691360642,
Ag-Ga,Deffrennes2024+Entall,Ag,Ga,-34.75710772383831,-3.2546927978049673,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,4.1,1.3103706971044482,5.188936042162335,3.0,1.35,302.9,1.81,-0.25,-0.0504477260862252,0.4703061971157742,-8.0,-0.0899999999999998,-0.1199999999999998,1.3355945601475607,-20.72967713178875,
Ag-Gd,Deffrennes2024,Ag,Gd,-122.02656988640216,-24.137338362213615,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,3.2,1.209644500896326,7.343482274833208,3.0,1.8,1585.0,1.2,-1.1499999999999997,-0.1511739222943473,2.624852429786647,-8.0,0.3600000000000001,-0.73,1.2852314620435,-136.03539212275902,
Ag-Ge,Deffrennes2024,Ag,Ge,-12.472294690928392,2.0702673712173105,99,19.0,4.35,1.3608184231906737,4.718629845046561,11.0,1.44,1235.1,1.93,4.55,1.3697596680026398,4.60127406422849,4.0,1.22,1211.0,2.01,0.2000000000000001,0.0089412448119663,-0.1173557808180705,-7.0,-0.2199999999999999,0.0799999999999998,1.3652890455966566,-21.05014850829208,
