System,a0,a1,a2,a3
Ag-Al,-15278.0,-18210.0,0.0,0.0
Ag-As,-32371.0,-3336.0,0.0,0.0
Ag-Au,-16478.0,0.0,0.0,0.0
Ag-B,-2386.0,13451.0,0.0,0.0
Ag-Ba,-64657.0,-5423.0,4488.0,-297.0
Ag-Be,28327.0,-23401.0,0.0,0.0
Ag-Bi,7628.0,0.0,0.0,0.0
Ag-C,-161034.0,18230.0,-16433.0,26675.0
Ag-Ca,-98051.0,-16917.0,22884.0,0.0
Ag-Cd,-17777.0,0.0,0.0,0.0
Ag-Ce,-69647.0,-33203.0,0.0,0.0
Ag-Co,89431.0,-10381.0,-23407.0,0.0
Ag-Cr,116423.0,-3011.0,26917.0,-15780.0
Ag-Cs,22937.0,23657.0,0.0,0.0
Ag-Cu,14471.0,0.0,0.0,0.0
Ag-Dy,-110744.0,-24997.0,17192.0,28052.0
Ag-Er,-94924.0,13389.0,-20325.0,-4036.0
Ag-Eu,-67334.0,-11555.0,-37847.0,4575.0
Ag-Fe,107931.0,0.0,0.0,0.0
Ag-Ga,-13668.0,-18035.0,0.0,0.0
Ag-Gd,-95564.0,-32368.0,0.0,0.0
Ag-Ge,7111.0,-13835.0,0.0,0.0
Ag-Hf,-60407.0,20707.0,39567.0,37720.0
Ag-Hg,-17246.0,-1277.0,0.0,0.0
Ag-Ho,-101624.0,-22779.0,13784.0,54988.0
Ag-In,-15462.0,-13546.0,0.0,0.0
Ag-Ir,5534.0,-9873.0,0.0,0.0
Ag-K,19637.0,23531.0,0.0,0.0
Ag-La,-99054.0,-8678.0,0.0,0.0
Ag-Li,-73800.0,24927.0,-22218.0,-9622.0
Ag-Lu,-96264.0,-10084.0,4101.0,26817.0
Ag-Mg,-45112.0,0.0,0.0,0.0
Ag-Mn,53469.0,-16265.0,-4259.0,24476.0
Ag-Mo,117920.0,13090.0,13604.0,31110.0
Ag-Na,-17155.0,6224.0,0.0,0.0
Ag-Nb,58192.0,-3252.0,56513.0,36322.0
Ag-Nd,-85194.0,-46709.0,-780.0,38774.0
Ag-Ni,56307.0,617.0,-4188.0,-3779.0
Ag-Os,71048.0,-27306.0,-18337.0,50355.0
Ag-P,-110265.0,9447.0,61864.0,-30659.0
Ag-Pb,9945.0,0.0,0.0,0.0
Ag-Pd,-18936.0,-15984.0,0.0,0.0
Ag-Pr,-91428.0,-35094.0,6763.0,34164.0
Ag-Pt,-12632.0,10670.0,0.0,0.0
Ag-Rb,17846.0,21766.0,0.0,0.0
Ag-Re,114704.0,-28160.0,29791.0,36034.0
Ag-Rh,20622.0,11174.0,0.0,0.0
Ag-Ru,60550.0,-172.0,773.0,25824.0
Ag-S,-167576.0,15007.0,28805.0,-54119.0
Ag-Sb,-2478.0,-18686.0,0.0,0.0
Ag-Sc,-85067.0,-15126.0,-18560.0,58688.0
Ag-Se,-101502.0,-1070.0,2285.0,2718.0
Ag-Si,6776.0,-1740.0,0.0,0.0
Ag-Sm,-88799.0,-34815.0,-14462.0,26778.0
Ag-Sn,-6050.0,-15564.0,0.0,0.0
Ag-Sr,-59948.0,8304.0,-32195.0,-8020.0
Ag-Ta,25815.0,14394.0,0.0,0.0
Ag-Tb,-116682.0,-29062.0,25567.0,43822.0
Ag-Te,-61943.0,-51561.0,39931.0,80908.0
Ag-Ti,5548.0,6325.0,0.0,0.0
Ag-Tl,8389.0,0.0,0.0,0.0
Ag-Tm,-108341.0,-16339.0,34873.0,18415.0
Ag-U,16224.0,11150.0,0.0,0.0
Ag-V,85444.0,1776.0,9257.0,4080.0
Ag-W,136370.0,-14603.0,-25696.0,31187.0
Ag-Y,-112606.0,-15559.0,34394.0,54945.0
Ag-Yb,-72883.0,-20537.0,-9100.0,17047.0
Ag-Zn,-27517.0,0.0,0.0,0.0
Ag-Zr,-26935.0,16694.0,0.0,0.0
Al-As,-56325.0,2513.0,35752.0,-19129.0
Al-Au,-131463.0,40228.0,0.0,0.0
Al-B,-20848.0,85.0,0.0,0.0
Al-Ba,-120836.0,-72637.0,44848.0,6789.0
Al-Be,57366.0,-18641.0,-37676.0,-31327.0
Al-Bi,26161.0,15122.0,0.0,0.0
Al-C,-173760.0,42264.0,-8801.0,464.0
Al-Ca,-92708.0,-40664.0,3420.0,27068.0
Al-Cd,19306.0,0.0,0.0,0.0
Al-Ce,-144927.0,-49546.0,19757.0,0.0
Al-Co,-126952.0,-12132.0,55850.0,6863.0
Al-Cr,-26894.0,-9893.0,0.0,0.0
Al-Cs,74541.0,46357.0,-378.0,-31754.0
Al-Cu,-66099.0,29048.0,0.0,0.0
Al-Dy,-157489.0,-61367.0,9040.0,42692.0
Al-Er,-167882.0,-51567.0,37995.0,47986.0
Al-Eu,-160097.0,-57395.0,587.0,17870.0
Al-Fe,-91670.0,-6545.0,0.0,0.0
Al-Ga,2711.0,0.0,0.0,0.0
Al-Gd,-134758.0,-49553.0,0.0,0.0
Al-Ge,-14969.0,0.0,0.0,0.0
Al-Hf,-190227.0,72.0,5717.0,11400.0
Al-Hg,16880.0,3537.0,0.0,0.0
Al-Ho,-175145.0,-68201.0,54715.0,62272.0
Al-In,22704.0,14055.0,0.0,0.0
Al-Ir,-224662.0,6917.0,10130.0,-20701.0
Al-K,84307.0,34066.0,-19182.0,-24162.0
Al-La,-146296.0,-48998.0,0.0,0.0
Al-Li,-42910.0,12148.0,0.0,0.0
Al-Lu,-184031.0,-47138.0,41403.0,38997.0
Al-Mg,-9231.0,0.0,0.0,0.0
Al-Mn,-70727.0,-13572.0,0.0,0.0
Al-Mo,-47946.0,-10385.0,-91297.0,-7112.0
Al-Na,48425.0,5538.0,-13523.0,12529.0
Al-Nb,-96861.0,-20829.0,16505.0,13086.0
Al-Nd,-149868.0,-42483.0,1140.0,-12690.0
Al-Ni,-206335.0,-8006.0,72007.0,13598.0
Al-Os,-161063.0,-17950.0,39709.0,39941.0
Al-P,-121476.0,7646.0,35939.0,-20116.0
Al-Pb,32213.0,-468.0,0.0,0.0
Al-Pd,-227037.0,83162.0,-1559.0,-25725.0
Al-Pr,-156249.0,-38092.0,18909.0,1814.0
Al-Pt,-229554.0,17854.0,67105.0,-10908.0
Al-Rb,75339.0,35857.0,-5748.0,-17749.0
Al-Re,-85900.0,-43090.0,23093.0,39414.0
Al-Rh,-179398.0,8890.0,9896.0,-36738.0
Al-Ru,-120165.0,-9344.0,-56320.0,-6706.0
Al-S,-177315.0,15624.0,24182.0,-52240.0
Al-Sb,-13695.0,8790.0,0.0,0.0
Al-Sc,-142106.0,13267.0,35292.0,-21981.0
Al-Se,-112802.0,32885.0,29655.0,-39222.0
Al-Si,-11137.0,0.0,0.0,0.0
Al-Sm,-161174.0,-52883.0,5671.0,7867.0
Al-Sn,16017.0,0.0,0.0,0.0
Al-Sr,-75020.0,-32853.0,9739.0,0.0
Al-Ta,-107332.0,5215.0,-28257.0,-4584.0
Al-Tb,-162239.0,-59853.0,9944.0,37227.0
Al-Te,-237909.0,158702.0,180529.0,-206201.0
Al-Ti,-118136.0,-21935.0,37748.0,0.0
Al-Tl,39941.0,6442.0,17339.0,1680.0
Al-Tm,-176052.0,-39207.0,66329.0,10784.0
Al-U,-135593.0,-40703.0,18375.0,76174.0
Al-V,-84718.0,-5047.0,42652.0,-4158.0
Al-W,-47512.0,1724.0,-80703.0,-14122.0
Al-Y,-169766.0,-41312.0,46533.0,0.0
Al-Yb,-153051.0,-36123.0,29975.0,-23501.0
Al-Zn,10565.0,0.0,0.0,0.0
Al-Zr,-185781.0,-4920.0,43761.0,-34866.0
As-Au,-51478.0,5772.0,9963.0,-23893.0
As-B,28098.0,-6582.0,0.0,0.0
As-Ba,-339783.0,-18602.0,167865.0,-30482.0
As-Be,-9156.0,15917.0,0.0,0.0
As-Bi,8963.0,220.0,0.0,0.0
As-C,-69822.0,15959.0,-37819.0,-5740.0
As-Ca,-257724.0,25838.0,72628.0,-38758.0
As-Cd,-18503.0,1674.0,0.0,0.0
As-Ce,-363367.0,-36508.0,83174.0,-26694.0
As-Co,-82216.0,42552.0,13341.0,-68983.0
As-Cr,-110874.0,27791.0,49213.0,-5847.0
As-Cs,-119460.0,24442.0,65137.0,-22554.0
As-Cu,-53088.0,13475.0,-3683.0,11792.0
As-Dy,-383915.0,-46470.0,114938.0,15941.0
As-Er,-365185.0,-11782.0,121081.0,11825.0
As-Eu,-361044.0,-2412.0,44747.0,-38673.0
As-Fe,-80124.0,47612.0,12055.0,-64130.0
As-Ga,-27331.0,248.0,0.0,0.0
As-Gd,-368141.0,-11470.0,142223.0,-52705.0
As-Ge,-4722.0,-10429.0,0.0,0.0
As-Hf,-345867.0,38908.0,61755.0,-51012.0
As-Hg,7516.0,-8750.0,0.0,0.0
As-Ho,-366302.0,-31463.0,88632.0,48644.0
As-In,-24136.0,-3124.0,0.0,0.0
As-Ir,-104148.0,22901.0,-47756.0,-12111.0
As-K,-123204.0,28021.0,89294.0,-7532.0
As-La,-341349.0,-26987.0,52776.0,-9203.0
As-Li,-198814.0,126586.0,28387.0,-37793.0
As-Lu,-347833.0,-16128.0,35725.0,6832.0
As-Mg,-133292.0,107238.0,10927.0,-71515.0
As-Mn,-148663.0,26084.0,32188.0,4830.0
As-Mo,-98127.0,22646.0,56351.0,19948.0
As-Na,-125642.0,73467.0,57887.0,-48484.0
As-Nb,-225195.0,21659.0,105546.0,-25788.0
As-Nd,-383914.0,-48324.0,140692.0,-6399.0
As-Ni,-87270.0,43620.0,-62369.0,-39368.0
As-Os,-82611.0,24831.0,9078.0,-44926.0
As-P,-9321.0,-5019.0,0.0,0.0
As-Pb,2020.0,0.0,0.0,0.0
As-Pd,-172476.0,51681.0,-15295.0,-31334.0
As-Pr,-382725.0,-53195.0,107743.0,21701.0
As-Pt,-140232.0,37419.0,-29668.0,-13864.0
As-Rb,-119361.0,20476.0,82970.0,-11507.0
As-Re,-61640.0,26939.0,26643.0,-61862.0
As-Rh,-122221.0,46874.0,17958.0,-65956.0
As-Ru,-98010.0,18736.0,58513.0,-11668.0
As-S,-19727.0,29682.0,0.0,0.0
As-Sb,12232.0,0.0,0.0,0.0
As-Sc,-360522.0,14511.0,114651.0,7094.0
As-Se,-25803.0,62152.0,-10319.0,-82399.0
As-Si,-2255.0,-15057.0,0.0,0.0
As-Sm,-373069.0,-18107.0,91052.0,-25835.0
As-Sn,-15058.0,-8974.0,0.0,0.0
As-Sr,-309022.0,-15887.0,100256.0,13651.0
As-Ta,-222235.0,20626.0,29385.0,-1538.0
As-Tb,-393287.0,-38888.0,115955.0,12199.0
As-Te,-20792.0,13912.0,0.0,0.0
As-Ti,-290904.0,45175.0,72745.0,-34706.0
As-Tl,7933.0,4203.0,0.0,0.0
As-Tm,-368153.0,-826.0,113068.0,-2091.0
As-U,-300848.0,-3084.0,68574.0,29527.0
As-V,-169981.0,47862.0,37636.0,-37450.0
As-W,-78471.0,-4149.0,-10185.0,17474.0
As-Y,-386876.0,-14339.0,119353.0,14580.0
As-Yb,-351350.0,19028.0,79888.0,-69584.0
As-Zn,-36102.0,15399.0,27295.0,-27027.0
As-Zr,-385559.0,32937.0,105229.0,-54058.0
Au-B,-51170.0,-8167.0,16015.0,44814.0
Au-Ba,-245525.0,-51879.0,131001.0,-7114.0
Au-Be,-3309.0,-23517.0,0.0,0.0
Au-Bi,2209.0,0.0,0.0,0.0
Au-C,-108309.0,-5711.0,-25977.0,19489.0
Au-Ca,-217050.0,-21045.0,3949.0,6973.0
Au-Cd,-63496.0,7448.0,12708.0,-39828.0
