alloy,xB,H_mix
Ag-Ca,0.249,-19620.0
Ag-Ca,0.4634,-24609.0
Ag-Ca,0.5562,-23497.0
Ag-Ca,0.6313,-20931.0
Ag-Ca,0.6768,-19661.0
Ag-Ca,0.7157,-17908.0
Ag-Ca,0.9396,-4025.0
Ag-Ca,0.8259,-10821.0
Ag-Ca,0.7353,-15745.0
Ag-Ca,0.6306,-20054.0
Ag-Ca,0.5477,-22184.0
Ag-Ca,0.4708,-22754.0
Ag-Ca,0.3962,-22105.0
Ag-Ca,0.3416,-20723.0
Ag-Ca,0.2999,-19024.0
Ag-Ca,0.2673,-17432.0
Ag-Ca,0.2393,-15782.0
Ag-Ca,0.0642,-5522.0
Ag-Ca,0.1123,-9541.0
Ag-Ca,0.1288,-10863.0
Ag-Ca,0.2073,-13598.0
Ag-Ca,0.5175,-24219.0
Ag-Ca,0.4438,-24367.0
Ag-Ca,0.3685,-23154.0
Ag-Ca,0.3115,-21260.0
Ag-Ca,0.2711,-19491.0
Ag-Ca,0.2405,-17799.0
Ag-Ca,0.2145,-16182.0
Ag-Ca,0.1893,-14356.0
Ag-Ca,0.1699,-12900.0
Ag-Ca,0.1487,-11130.0
Ag-Ca,0.1327,-9717.0
Ag-Ca,0.1203,-8543.0
Ag-Ca,0.1103,-7643.0
Ag-Ca,0.0984,-7126.0
Ag-Ca,0.1897,-13838.0
Ag-Ca,0.9626,-2246.0
Ag-Ca,0.9156,-4982.0
Ag-Ca,0.8703,-7675.0
Ag-Ca,0.8188,-10841.0
Ag-Ca,0.7564,-14127.0
Ag-Ca,0.9647,-2077.0
Ag-Ca,0.9224,-4593.0
Ag-Ca,0.8808,-6941.0
Ag-Li,0.5245,-11489.0
Ag-Li,0.4847,-11379.0
Ag-Li,0.4371,-10910.0
Ag-Li,0.4086,-10553.0
Ag-Li,0.3774,-10105.0
Ag-Li,0.3503,-9574.0
Ag-Li,0.3281,-9199.0
Ag-Li,0.3124,-8856.0
Ag-Li,0.2976,-8472.0
Ag-Li,0.2851,-8153.0
Ag-Li,0.2711,-7848.0
Ag-Li,0.264,-7750.0
Ag-Li,0.2187,-7224.0
Ag-Li,0.1995,-6685.0
Ag-Li,0.1884,-6326.0
Ag-Li,0.1698,-5665.0
Ag-Li,0.1583,-5052.0
Ag-Li,0.1461,-4623.0
Ag-Li,0.1355,-4233.0
Ag-Li,0.1287,-4000.0
Ag-Li,0.1205,-3754.0
Ag-Li,0.1152,-3569.0
Ag-Li,0.1097,-3342.0
Ag-Li,0.1043,-3156.0
Ag-Li,0.1002,-3056.0
Ag-Li,0.9771,-340.0
Ag-Li,0.932,-1984.0
Ag-Li,0.8972,-3208.0
Ag-Li,0.8408,-5094.0
Ag-Li,0.7867,-7102.0
Ag-Li,0.7617,-7808.0
Ag-Li,0.7274,-8727.0
Ag-Li,0.7007,-9395.0
Ag-Li,0.6719,-10035.0
Ag-Li,0.6338,-10743.0
Ag-Li,0.5985,-11265.0
Ag-Li,0.5664,-11679.0
Ga-Li,0.4284,-19776.0
Ga-Li,0.5421,-21183.0
Ga-Li,0.652,-20012.0
Ga-Li,0.7322,-16970.0
Ga-Li,0.7709,-14808.0
Ga-Li,0.7991,-12777.0
Ga-Li,0.8282,-11170.0
Ga-Li,0.0908,-5121.0
Ga-Li,0.1797,-10198.0
Ga-Li,0.2283,-12777.0
Ga-Li,0.3064,-16096.0
Ga-Li,0.3748,-18694.0
Ga-Li,0.9801,-1379.0
Ga-Li,0.9468,-4066.0
Ga-Li,0.9218,-6401.0
Ga-Li,0.894,-8520.0
Ga-Li,0.865,-10472.0
Ga-Li,0.8391,-12174.0
Ga-Li,0.8058,-14369.0
Ga-Li,0.7734,-16214.0
Ga-Li,0.703,-19436.0
Ga-Li,0.1,-5600.0
Ga-Li,0.2,-11200.0
Ga-Li,0.3,-15900.0
Ga-Li,0.4,-19300.0
Ga-Li,0.5,-21100.0
Ga-Li,0.6,-20900.0
Ga-Li,0.7,-18500.0
Ga-Li,0.8,-14000.0
Ga-Li,0.9,-7700.0
Li-Zn,0.048,-1120.0
Li-Zn,0.0842,-1975.0
Li-Zn,0.1325,-3172.0
Li-Zn,0.1615,-3913.0
Li-Zn,0.244,-6121.0
Li-Zn,0.3112,-7756.0
Li-Zn,0.3661,-9067.0
Li-Zn,0.4049,-9858.0
Li-Zn,0.4381,-10466.0
Li-Zn,0.4622,-10839.0
Li-Zn,0.4886,-11252.0
Li-Zn,0.5125,-11579.0
Li-Zn,0.8716,-6519.0
Li-Zn,0.7511,-10492.0
Li-Zn,0.6707,-11655.0
Li-Zn,0.5926,-11769.0
Li-Zn,0.5252,-11218.0
Li-Zn,0.4652,-10386.0
Li-Zn,0.5044,-11446.0
Li-Zn,0.621,-12252.0
Li-Zn,0.698,-11754.0
Li-Zn,0.7433,-10851.0
Li-Zn,0.7863,-9740.0
Li-Zn,0.8265,-8330.0
Li-Zn,0.8517,-7440.0
Al-Li,0.5053,-12133.0
Al-Li,0.4012,-10130.0
Al-Li,0.3334,-8394.0
Al-Li,0.2867,-7199.0
Al-Li,0.251,-6354.0
Al-Li,0.2231,-5591.0
Al-Li,0.1991,-5201.0
Al-Li,0.1812,-4400.0
Al-Li,0.1663,-3972.0
Al-Li,0.1536,-3613.0
Al-Li,0.7658,-8281.0
Al-Li,0.6675,-10649.0
Al-Li,0.3598,-9084.0
Al-Li,0.511,-11927.0
Al-Li,0.6112,-12025.0
Al-Li,0.7288,-9587.0
Al-Li,0.7879,-7727.0
Al-Li,0.8245,-6300.0
Al-Li,0.8493,-5408.0
Li-Sb,0.0201,-6395.0
Li-Sb,0.0419,-13326.0
Li-Sb,0.0639,-20330.0
Li-Sb,0.0851,-27098.0
Li-Sb,0.1077,-34326.0
Li-Sb,0.13,-41487.0
Li-Sb,0.1579,-50363.0
Li-Sb,0.0194,-5968.0
Li-Sb,0.0476,-15141.0
Li-Sb,0.077,-24618.0
Li-Sb,0.1062,-33670.0
Li-Sb,0.1345,-42134.0
Li-Sb,0.1615,-51099.0
Li-Sb,0.0304,-9469.0
Li-Sb,0.0639,-20019.0
Li-Sb,0.0997,-32020.0
Li-Sb,0.1335,-43370.0
Li-Sb,0.1666,-54584.0
Li-Sb,0.8709,-11300.0
Li-Sb,0.7766,-19948.0
Li-Sb,0.6965,-27582.0
Li-Sb,0.6304,-33790.0
Li-Sb,0.5795,-38635.0
Li-Sb,0.5349,-43283.0
Li-Sb,0.4945,-47291.0
Li-Sb,0.4599,-50883.0
Li-Si,0.0247,-3400.0
Li-Si,0.0607,-8400.0
Li-Si,0.0949,-13400.0
